sheet,designator,symbol_id,symbol_name,part,name_field,value_field,net_field,footprint_field,device_field
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,ADC_In1,,,,,,,,87ccbae5bf4449abb68a33451f35430b
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,ADC_In2,,,,,,,,87ccbae5bf4449abb68a33451f35430b
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C1,742049f4358841bfba6e5c392e9bd2d1,,CapAcitance.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C10,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C11,6d7181a9ac2543029b580f6c88e87f64,CL10B104KA8NNNC,CL10B104KA8NNNC.1,,,,,139a0302676a47909b25ab608ed70c02
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C12,,,,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C13,6d7181a9ac2543029b580f6c88e87f64,CL10B104KA8NNNC,CL10B104KA8NNNC.1,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C14,,,,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C15,6d7181a9ac2543029b580f6c88e87f64,CL10B104KA8NNNC,CL10B104KA8NNNC.1,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C16,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C17,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C18,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C19,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C2,cec4190b21f74d49ac7cd97a0f5c0988,,TAJB107K006RNJ.1,,,,168096576f4e414c8600b142d4e182ea,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C20,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C21,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C22,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,00bef50977fa4803a695b9d0a2fe17ff
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C23,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,00bef50977fa4803a695b9d0a2fe17ff
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C24,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,00bef50977fa4803a695b9d0a2fe17ff
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C25,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C26,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C27,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C28,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C29,,,,,,,,62bd620079744d478564c5e3a77fc011
